date,canton_id,total
3.7.2020,5,10
3.7.2020,6,11
3.7.2020,7,4
3.7.2020,8,8
3.7.2020,9,0
3.7.2020,10,84
3.7.2020,11,0
3.7.2020,0,149
4.7.2020,2,6
4.7.2020,3,0
4.7.2020,4,32
4.7.2020,5,37
4.7.2020,6,0
4.7.2020,7,2
4.7.2020,8,7
4.7.2020,9,0
4.7.2020,10,38
4.7.2020,11,0
4.7.2020,0,122
5.7.2020,2,2
5.7.2020,3,0
5.7.2020,4,31
5.7.2020,5,4
5.7.2020,6,3
5.7.2020,7,1
5.7.2020,8,1
5.7.2020,9,0
5.7.2020,10,14
5.7.2020,11,0
5.7.2020,0,56
6.7.2020,2,0
6.7.2020,3,0
6.7.2020,4,46
6.7.2020,5,0
6.7.2020,6,1
6.7.2020,7,1
6.7.2020,8,7
6.7.2020,9,1
6.7.2020,10,13
6.7.2020,11,0
6.7.2020,0,69
7.7.2020,2,7
7.7.2020,3,1
7.7.2020,4,27
7.7.2020,5,10
7.7.2020,6,2
7.7.2020,7,2
7.7.2020,8,10
7.7.2020,9,0
7.7.2020,10,63
7.7.2020,11,0
7.7.2020,0,122
8.7.2020,2,9
8.7.2020,3,0
8.7.2020,4,38
8.7.2020,5,10
8.7.2020,6,6
8.7.2020,7,5
8.7.2020,8,10
8.7.2020,9,0
8.7.2020,10,38
8.7.2020,11,0
8.7.2020,0,116
9.7.2020,2,2
9.7.2020,3,0
9.7.2020,4,19
9.7.2020,5,19
9.7.2020,6,2
9.7.2020,7,4
9.7.2020,8,6
9.7.2020,9,0
9.7.2020,10,86
9.7.2020,11,0
9.7.2020,0,138
10.7.2020,2,4
10.7.2020,3,0
10.7.2020,4,65
10.7.2020,5,17
10.7.2020,6,7
10.7.2020,7,6
10.7.2020,8,20
10.7.2020,9,2
10.7.2020,10,60
10.7.2020,11,0
10.7.2020,0,181
11.7.2020,2,6
11.7.2020,3,1
11.7.2020,4,73
11.7.2020,5,1
11.7.2020,6,1
11.7.2020,7,10
11.7.2020,8,11
11.7.2020,9,0
11.7.2020,10,56
11.7.2020,11,0
11.7.2020,0,159
12.7.2020,2,8
12.7.2020,3,1
12.7.2020,4,47
12.7.2020,5,7
12.7.2020,6,2
12.7.2020,7,1
12.7.2020,8,9
12.7.2020,9,1
12.7.2020,10,19
12.7.2020,11,0
12.7.2020,0,95
13.7.2020,2,0
13.7.2020,3,2
13.7.2020,4,25
13.7.2020,5,21
13.7.2020,6,9
13.7.2020,7,3
13.7.2020,8,1
13.7.2020,9,0
13.7.2020,10,76
13.7.2020,11,0
13.7.2020,0,137
14.7.2020,2,2
14.7.2020,3,0
14.7.2020,4,26
14.7.2020,5,33
14.7.2020,6,5
14.7.2020,7,1
14.7.2020,8,9
14.7.2020,9,1
14.7.2020,10,36
14.7.2020,11,0
14.7.2020,0,113
15.7.2020,2,13
15.7.2020,3,0
15.7.2020,4,44
15.7.2020,5,22
15.7.2020,6,3
15.7.2020,7,4
15.7.2020,8,13
15.7.2020,9,6
15.7.2020,10,90
15.7.2020,11,0
15.7.2020,0,195
16.7.2020,2,2
16.7.2020,3,1
16.7.2020,4,16
16.7.2020,5,28
16.7.2020,6,4
16.7.2020,7,4
16.7.2020,8,29
16.7.2020,9,4
16.7.2020,10,46
16.7.2020,11,1
16.7.2020,0,135
17.7.2020,2,1
17.7.2020,3,0
17.7.2020,4,28
17.7.2020,5,19
17.7.2020,6,4
17.7.2020,7,9
17.7.2020,8,17
17.7.2020,9,1
17.7.2020,10,72
17.7.2020,11,1
17.7.2020,0,152
18.7.2020,2,6
18.7.2020,3,0
18.7.2020,4,29
18.7.2020,5,25
18.7.2020,6,10
18.7.2020,7,8
18.7.2020,8,20
18.7.2020,9,5
18.7.2020,10,70
18.7.2020,11,2
18.7.2020,0,175
19.7.2020,2,0
19.7.2020,3,0
19.7.2020,4,29
19.7.2020,5,11
19.7.2020,6,1
19.7.2020,7,6
19.7.2020,8,6
19.7.2020,9,0
19.7.2020,10,59
19.7.2020,11,0
19.7.2020,0,112
20.7.2020,2,1
20.7.2020,3,1
20.7.2020,4,45
20.7.2020,5,5
20.7.2020,6,1
20.7.2020,7,5
20.7.2020,8,2
20.7.2020,9,0
20.7.2020,10,56
20.7.2020,11,0
20.7.2020,0,116
21.7.2020,2,5
21.7.2020,3,0
21.7.2020,4,72
21.7.2020,5,16
21.7.2020,6,4
21.7.2020,7,6
21.7.2020,8,24
21.7.2020,9,7
21.7.2020,10,83
21.7.2020,11,1
21.7.2020,0,218
22.7.2020,2,12
22.7.2020,3,0
22.7.2020,4,45
22.7.2020,5,28
22.7.2020,6,2
22.7.2020,7,12
22.7.2020,8,3
22.7.2020,9,2
22.7.2020,10,77
22.7.2020,11,1
22.7.2020,0,182
23.7.2020,2,5
23.7.2020,3,0
23.7.2020,4,51
23.7.2020,5,15
23.7.2020,6,6
23.7.2020,7,5
23.7.2020,8,18
23.7.2020,9,4
23.7.2020,10,73
23.7.2020,11,4
23.7.2020,0,181
24.7.2020,2,0
24.7.2020,3,0
24.7.2020,4,44
24.7.2020,5,12
24.7.2020,6,3
24.7.2020,7,14
24.7.2020,8,12
24.7.2020,9,1
24.7.2020,10,79
24.7.2020,11,1
24.7.2020,0,166
25.7.2020,2,13
25.7.2020,3,0
25.7.2020,4,54
25.7.2020,5,30
25.7.2020,6,4
25.7.2020,7,4
25.7.2020,8,11
25.7.2020,9,1
25.7.2020,10,55
25.7.2020,11,0
25.7.2020,0,172
26.7.2020,2,7
26.7.2020,3,0
26.7.2020,4,34
26.7.2020,5,3
26.7.2020,6,0
26.7.2020,7,5
26.7.2020,8,3
26.7.2020,9,0
26.7.2020,10,74
26.7.2020,11,3
26.7.2020,0,129
27.7.2020,2,2
27.7.2020,3,0
27.7.2020,4,65
27.7.2020,5,21
27.7.2020,6,8
27.7.2020,7,8
27.7.2020,8,2
27.7.2020,9,0
27.7.2020,10,97
27.7.2020,11,0
27.7.2020,0,203
28.7.2020,2,1
28.7.2020,3,0
28.7.2020,4,28
28.7.2020,5,21
28.7.2020,6,2
28.7.2020,7,21
28.7.2020,8,28
28.7.2020,9,3
28.7.2020,10,60
28.7.2020,11,1
28.7.2020,0,165
29.7.2020,2,2
29.7.2020,3,0
29.7.2020,4,68
29.7.2020,5,34
29.7.2020,6,4
